job_title,company_name,location,start_date,ctc,experience,posted,is_salary_disclosed,min_ctc,max_ctc,min_exp,max_exp,is_noisy_duplicate,is_repost_candidate,posted_days,is_remote,avg_ctc,job_title_top
WordPress Developer,Avology Technologies Pvt. Ltd.,Mohali,Starts Immediately,"₹ 2,40,000 - 3,00,000",1-3,3 weeks ago,True,240000,300000,1,3,False,False,21,False,270000,other
Business Development Associate,Infobahn Technical Solutions (India) Private Limited,Mumbai,Starts Immediately,"₹ 3,00,000 - 6,00,000",0-5,2 weeks ago,True,300000,600000,0,5,False,False,14,False,450000,Business Development Associate
Inside Sales Associate,Material Depot,Bangalore,Starts Immediately,"₹ 4,00,000 - 6,00,000",1-3,6 days ago,True,400000,600000,1,3,False,False,6,False,500000,other
Warehouse Executive/Team Leader,Flipkart,Bangalore,Starts Immediately,"₹ 2,50,000 - 4,50,000",0-2,1 week ago,True,250000,450000,0,2,False,False,7,False,350000,other
Senior Design Engineer,SALUJA CAD CONSULTANCY,"Noida, Manesar, Delhi, Gurgaon",Starts Immediately,"₹ 2,00,000 - 3,00,000",0-2,2 weeks ago,True,200000,300000,0,2,False,False,14,False,250000,other
Corporate Sales Executive,ChipBucket Solution Private Limited,Ahmedabad,Starts Immediately,"₹ 2,50,000 - 4,00,000",0-2,3 weeks ago,True,250000,400000,0,2,False,False,21,False,325000,Corporate Sales Executive
Sales Manager,CloudCentric Infotech,Noida,Starts Immediately,"₹ 3,00,000 - 8,00,000",1-3,2 weeks ago,True,300000,800000,1,3,False,True,14,False,550000,Sales Manager
Human Resources (HR) Executive,Zylu Business Solutions Private Limited,Work from home,Starts Immediately,"₹ 2,00,000 - 2,40,000",0-2,1 week ago,True,200000,240000,0,2,False,False,7,True,220000,Human Resources (HR) Executive
Video Editor,Rankkking,Work from home,Starts Immediately,"₹ 2,00,000 - 2,64,000",0-2,6 days ago,True,200000,264000,0,2,False,False,6,True,232000,Video Editor
Junior Architect,VersionAbsolute Design Studio,Delhi,Starts Immediately,"₹ 2,40,000 - 3,60,000",0-2,2 weeks ago,True,240000,360000,0,2,False,False,14,False,300000,other
